flight_number,aircraft_registration,origin,destination,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,status,gate,delay_minutes,passengers_booked
TU1329,TS-IMB,Tunis,Tripoli,2025-11-28 17:02:00,2025-11-28 18:40:00,2025-11-28 17:22:00,2025-11-28 18:51:00,landed,A21,20,151
TU1330,TS-IOB,Djerba,Casablanca,2025-11-28 17:14:00,2025-11-28 20:44:00,2025-11-28 17:29:00,2025-11-28 20:57:00,landed,C11,15,83
TU1331,TS-IOB,Djerba,Abu Dhabi,2025-11-28 18:25:00,2025-11-28 22:53:00,2025-11-28 18:45:00,2025-11-28 23:06:00,landed,D13,20,132
TU1332,TS-IMD,Sfax,Cairo,2025-11-28 19:58:00,2025-11-29 00:50:00,2025-11-28 20:13:00,2025-11-29 00:57:00,landed,B1,15,148
TU1333,TS-IOD,Djerba,Brussels,2025-11-28 20:45:00,2025-11-28 22:07:00,2025-11-28 21:05:00,2025-11-28 22:13:00,landed,C10,20,115
TU1334,TS-IMD,Enfidha,Rome,2025-11-28 20:54:00,2025-11-28 22:06:00,,,delayed,C2,45,164
TU1335,TS-IMD,Tunis,Zurich,2025-11-28 20:57:00,2025-11-28 22:38:00,2025-11-28 21:17:00,2025-11-28 22:51:00,landed,B14,20,131
TU1336,TS-IMC,Tunis,Casablanca,2025-11-28 21:29:00,2025-11-29 00:31:00,2025-11-28 21:49:00,2025-11-29 00:42:00,landed,A22,20,86
TU1337,TS-IME,Djerba,Madrid,2025-11-29 06:35:00,2025-11-29 09:19:00,2025-11-29 06:55:00,2025-11-29 09:19:00,landed,C16,20,135
TU1338,TS-IOE,Enfidha,Casablanca,2025-11-29 08:24:00,2025-11-29 11:19:00,2025-11-29 08:39:00,2025-11-29 11:23:00,landed,D24,15,129
TU1339,TS-IMC,Monastir,Paris,2025-11-29 08:40:00,2025-11-29 10:39:00,2025-11-29 08:50:00,2025-11-29 10:38:00,landed,C22,10,90
TU1340,TS-IOB,Enfidha,Lyon,2025-11-29 08:50:00,2025-11-29 11:12:00,2025-11-29 08:50:00,2025-11-29 11:09:00,landed,B6,0,150
TU1341,TS-IMD,Tunis,Madrid,2025-11-29 08:56:00,2025-11-29 11:52:00,2025-11-29 08:56:00,2025-11-29 12:01:00,landed,C12,0,159
TU1342,TS-IMF,Sfax,Rome,2025-11-29 10:18:00,2025-11-29 11:44:00,,,cancelled,B17,0,0
TU1343,TS-IMF,Monastir,Abu Dhabi,2025-11-29 13:25:00,2025-11-29 17:24:00,2025-11-29 13:40:00,2025-11-29 17:22:00,landed,B22,15,144
TU1344,TS-IME,Monastir,Geneva,2025-11-29 13:33:00,2025-11-29 15:38:00,2025-11-29 13:33:00,2025-11-29 15:46:00,landed,D14,0,68
TU1345,TS-IOA,Monastir,Istanbul,2025-11-29 16:13:00,2025-11-29 20:04:00,2025-11-29 16:28:00,2025-11-29 20:02:00,landed,A18,15,103
TU1346,TS-IOD,Djerba,Barcelona,2025-11-29 16:27:00,2025-11-29 18:39:00,2025-11-29 16:32:00,2025-11-29 18:36:00,landed,A24,5,32
TU1347,TS-IMB,Tunis,Milan,2025-11-29 17:27:00,2025-11-29 19:04:00,2025-11-29 17:27:00,2025-11-29 19:09:00,landed,D11,0,154
TU1348,TS-IMC,Tunis,Barcelona,2025-11-29 18:05:00,2025-11-29 20:58:00,2025-11-29 18:20:00,2025-11-29 21:13:00,landed,C6,15,60
TU1349,TS-IME,Sfax,London,2025-11-29 20:18:00,2025-11-29 22:49:00,2025-11-29 20:18:00,2025-11-29 23:01:00,landed,A10,0,80
TU1350,TS-IMC,Monastir,Madrid,2025-11-29 20:42:00,2025-11-29 22:58:00,2025-11-29 20:52:00,2025-11-29 23:11:00,landed,C11,10,64
TU1351,TS-IOB,Djerba,Cairo,2025-11-29 21:38:00,2025-11-30 02:29:00,2025-11-29 21:38:00,2025-11-30 02:39:00,landed,C5,0,102
TU1352,TS-IOE,Sfax,Doha,2025-11-30 06:12:00,2025-11-30 09:36:00,,,delayed,D5,25,72
TU1353,TS-IME,Sfax,Lyon,2025-11-30 08:24:00,2025-11-30 09:54:00,2025-11-30 08:34:00,2025-11-30 10:04:00,landed,B10,10,106
TU1354,TS-IME,Monastir,Rome,2025-11-30 09:27:00,2025-11-30 11:12:00,2025-11-30 09:27:00,2025-11-30 11:28:00,landed,A24,0,69
TU1355,TS-IME,Sfax,Zurich,2025-11-30 10:51:00,2025-11-30 11:55:00,2025-11-30 11:01:00,2025-11-30 12:04:00,landed,A2,10,155
TU1356,TS-IOA,Djerba,Istanbul,2025-11-30 12:31:00,2025-11-30 17:20:00,2025-11-30 12:31:00,2025-11-30 17:34:00,landed,D8,0,115
TU1357,TS-IOA,Sfax,Zurich,2025-11-30 13:00:00,2025-11-30 14:04:00,2025-11-30 13:00:00,2025-11-30 14:11:00,landed,C20,0,138
TU1358,TS-IOB,Enfidha,Abu Dhabi,2025-11-30 16:07:00,2025-11-30 20:02:00,2025-11-30 16:27:00,2025-11-30 20:17:00,landed,C24,20,128
TU1359,TS-IOB,Djerba,Casablanca,2025-11-30 18:33:00,2025-11-30 21:54:00,2025-11-30 18:38:00,2025-11-30 22:01:00,landed,B17,5,118
TU1360,TS-IOC,Monastir,Algiers,2025-11-30 19:15:00,2025-11-30 20:42:00,2025-11-30 19:35:00,2025-11-30 20:46:00,landed,B13,20,162
TU1361,TS-IOE,Tunis,Rome,2025-11-30 19:28:00,2025-11-30 21:20:00,2025-11-30 19:43:00,2025-11-30 21:20:00,landed,A21,15,43
TU1362,TS-IME,Enfidha,Doha,2025-11-30 21:54:00,2025-12-01 02:37:00,2025-11-30 22:04:00,2025-12-01 02:42:00,landed,D20,10,180
TU1363,TS-IMB,Enfidha,Barcelona,2025-12-01 06:42:00,2025-12-01 08:44:00,2025-12-01 06:57:00,2025-12-01 08:48:00,landed,D21,15,141
TU1364,TS-IOC,Enfidha,Geneva,2025-12-01 08:35:00,2025-12-01 10:36:00,2025-12-01 08:45:00,2025-12-01 10:53:00,landed,B11,10,129
TU1365,TS-IOD,Djerba,Zurich,2025-12-01 08:38:00,2025-12-01 11:07:00,2025-12-01 08:38:00,2025-12-01 11:21:00,landed,C1,0,76
TU1366,TS-IMD,Enfidha,Munich,2025-12-01 09:01:00,2025-12-01 11:58:00,2025-12-01 09:01:00,2025-12-01 11:55:00,landed,C17,0,124
TU1367,TS-IOC,Enfidha,Barcelona,2025-12-01 09:24:00,2025-12-01 12:26:00,2025-12-01 09:29:00,2025-12-01 12:34:00,landed,A2,5,164
TU1368,TS-IME,Monastir,London,2025-12-01 11:49:00,2025-12-01 15:00:00,,,delayed,C11,30,133
TU1369,TS-IMC,Tunis,Cairo,2025-12-01 19:01:00,2025-12-01 23:58:00,2025-12-01 19:01:00,2025-12-02 00:10:00,landed,B10,0,94
TU1370,TS-IOC,Djerba,Dubai,2025-12-01 20:42:00,2025-12-02 00:24:00,2025-12-01 20:42:00,2025-12-02 00:29:00,landed,B22,0,131
TU1371,TS-IMB,Sfax,Lyon,2025-12-01 22:09:00,2025-12-02 00:15:00,2025-12-01 22:14:00,2025-12-02 00:33:00,landed,A11,5,88
TU1372,TS-IMC,Djerba,Abu Dhabi,2025-12-01 22:14:00,2025-12-02 01:25:00,2025-12-01 22:14:00,2025-12-02 01:30:00,landed,A8,0,80
TU1373,TS-IMB,Djerba,Rome,2025-12-02 05:48:00,2025-12-02 07:54:00,2025-12-02 06:03:00,2025-12-02 08:04:00,landed,D7,15,77
TU1374,TS-IMC,Enfidha,Doha,2025-12-02 06:41:00,2025-12-02 10:55:00,2025-12-02 06:46:00,2025-12-02 11:10:00,landed,C11,5,113
TU1375,TS-IMB,Monastir,Casablanca,2025-12-02 09:05:00,2025-12-02 12:30:00,2025-12-02 09:05:00,2025-12-02 12:47:00,landed,D16,0,96
TU1376,TS-IOD,Monastir,London,2025-12-02 09:52:00,2025-12-02 13:09:00,2025-12-02 10:02:00,2025-12-02 13:13:00,landed,A19,10,103
TU1377,TS-IOA,Enfidha,Barcelona,2025-12-02 10:13:00,2025-12-02 13:22:00,2025-12-02 10:33:00,2025-12-02 13:35:00,landed,A18,20,40
TU1378,TS-IMB,Monastir,Tripoli,2025-12-02 11:08:00,2025-12-02 12:14:00,2025-12-02 11:08:00,2025-12-02 12:22:00,landed,B22,0,177
TU1379,TS-IOE,Tunis,Doha,2025-12-02 12:13:00,2025-12-02 17:00:00,2025-12-02 12:18:00,2025-12-02 17:15:00,landed,A18,5,106
TU1380,TS-IOE,Enfidha,Frankfurt,2025-12-02 19:21:00,2025-12-02 22:26:00,2025-12-02 19:21:00,2025-12-02 22:40:00,landed,D9,0,127
TU1381,TS-IMC,Djerba,Lyon,2025-12-02 20:26:00,2025-12-02 22:05:00,2025-12-02 20:26:00,2025-12-02 22:14:00,landed,C3,0,139
TU1382,TS-IMD,Djerba,Zurich,2025-12-02 21:13:00,2025-12-02 22:46:00,2025-12-02 21:28:00,2025-12-02 22:55:00,landed,D20,15,99
TU1383,TS-IOE,Enfidha,Venice,2025-12-02 22:06:00,2025-12-03 00:14:00,2025-12-02 22:26:00,2025-12-03 00:14:00,landed,B15,20,85
TU1384,TS-IMD,Monastir,Rome,2025-12-02 22:18:00,2025-12-02 23:26:00,2025-12-02 22:33:00,2025-12-02 23:31:00,landed,C21,15,106
TU1385,TS-IMC,Tunis,London,2025-12-03 06:44:00,2025-12-03 10:08:00,2025-12-03 06:44:00,2025-12-03 10:25:00,landed,A19,0,146
TU1386,TS-IOC,Tunis,Marseille,2025-12-03 06:54:00,2025-12-03 08:29:00,2025-12-03 07:14:00,2025-12-03 08:40:00,landed,C22,20,158
TU1387,TS-IOA,Monastir,Amsterdam,2025-12-03 08:12:00,2025-12-03 10:56:00,2025-12-03 08:32:00,2025-12-03 11:01:00,landed,B3,20,83
TU1388,TS-IOE,Sfax,Casablanca,2025-12-03 08:14:00,2025-12-03 11:13:00,2025-12-03 08:14:00,2025-12-03 11:13:00,landed,C12,0,37
TU1389,TS-IOE,Tunis,Lyon,2025-12-03 09:24:00,2025-12-03 10:36:00,,,delayed,B15,10,120
TU1390,TS-IME,Monastir,Nice,2025-12-03 09:31:00,2025-12-03 11:35:00,2025-12-03 09:31:00,2025-12-03 11:46:00,landed,B6,0,104
TU1391,TS-IMD,Djerba,Rome,2025-12-03 10:47:00,2025-12-03 13:17:00,2025-12-03 11:02:00,2025-12-03 13:27:00,landed,C8,15,149
TU1392,TS-IOA,Sfax,Casablanca,2025-12-03 14:55:00,2025-12-03 17:06:00,2025-12-03 15:00:00,2025-12-03 17:03:00,landed,C5,5,155
TU1393,TS-IME,Monastir,Amsterdam,2025-12-03 17:24:00,2025-12-03 20:15:00,2025-12-03 17:24:00,2025-12-03 20:30:00,landed,C16,0,146
TU1394,TS-IME,Djerba,Zurich,2025-12-03 17:31:00,2025-12-03 18:36:00,2025-12-03 17:36:00,2025-12-03 18:54:00,landed,B17,5,141
TU1395,TS-IMD,Sfax,Frankfurt,2025-12-03 17:54:00,2025-12-03 20:51:00,2025-12-03 18:09:00,2025-12-03 21:08:00,landed,B20,15,107
TU1396,TS-IMC,Monastir,Istanbul,2025-12-03 18:40:00,2025-12-03 22:56:00,2025-12-03 19:00:00,2025-12-03 22:54:00,landed,B1,20,144
TU1397,TS-IMC,Monastir,Barcelona,2025-12-04 05:55:00,2025-12-04 08:20:00,2025-12-04 06:05:00,2025-12-04 08:33:00,landed,B20,10,115
TU1398,TS-IMF,Sfax,Cairo,2025-12-04 06:50:00,2025-12-04 10:56:00,2025-12-04 07:00:00,2025-12-04 11:01:00,landed,A18,10,64
TU1399,TS-IMD,Enfidha,Barcelona,2025-12-04 07:23:00,2025-12-04 09:26:00,,,cancelled,A20,0,0
TU1400,TS-IOE,Enfidha,Geneva,2025-12-04 07:28:00,2025-12-04 09:21:00,2025-12-04 07:48:00,2025-12-04 09:26:00,landed,D13,20,106
TU1401,TS-IME,Djerba,Algiers,2025-12-04 08:44:00,2025-12-04 10:46:00,2025-12-04 09:04:00,2025-12-04 10:50:00,landed,B24,20,133
TU1402,TS-IOA,Monastir,Nice,2025-12-04 08:57:00,2025-12-04 10:27:00,2025-12-04 08:57:00,2025-12-04 10:24:00,landed,B13,0,129
TU1403,TS-IMB,Sfax,Milan,2025-12-04 09:40:00,2025-12-04 12:06:00,2025-12-04 09:40:00,2025-12-04 12:23:00,landed,D19,0,135
TU1404,TS-IMB,Enfidha,Dubai,2025-12-04 09:52:00,2025-12-04 14:31:00,2025-12-04 09:57:00,2025-12-04 14:49:00,landed,A13,5,77
TU1405,TS-IOB,Enfidha,Zurich,2025-12-04 13:27:00,2025-12-04 14:50:00,2025-12-04 13:47:00,2025-12-04 14:55:00,landed,B17,20,92
TU1406,TS-IOD,Enfidha,Dubai,2025-12-04 17:14:00,2025-12-04 21:20:00,2025-12-04 17:34:00,2025-12-04 21:18:00,landed,B11,20,124
TU1407,TS-IMC,Sfax,Madrid,2025-12-04 17:47:00,2025-12-04 20:39:00,2025-12-04 18:02:00,2025-12-04 20:43:00,landed,A13,15,134
TU1408,TS-IMF,Djerba,Marseille,2025-12-04 18:50:00,2025-12-04 20:23:00,2025-12-04 18:55:00,2025-12-04 20:30:00,landed,D18,5,66
TU1409,TS-IOB,Monastir,Zurich,2025-12-04 22:14:00,2025-12-04 23:56:00,2025-12-04 22:34:00,2025-12-04 23:56:00,landed,D23,20,85
TU1410,TS-IOB,Tunis,Frankfurt,2025-12-04 22:47:00,2025-12-05 01:41:00,2025-12-04 23:02:00,2025-12-05 01:51:00,landed,C10,15,57
TU1411,TS-IME,Monastir,Rome,2025-12-05 05:40:00,2025-12-05 06:51:00,2025-12-05 05:40:00,2025-12-05 06:48:00,landed,D22,0,124
TU1412,TS-IMB,Sfax,Casablanca,2025-12-05 06:15:00,2025-12-05 09:16:00,2025-12-05 06:15:00,2025-12-05 09:14:00,landed,A12,0,111
TU1413,TS-IMB,Monastir,Munich,2025-12-05 06:44:00,2025-12-05 08:58:00,2025-12-05 06:49:00,2025-12-05 09:01:00,landed,C5,5,166
TU1414,TS-IMF,Enfidha,Zurich,2025-12-05 07:25:00,2025-12-05 09:11:00,2025-12-05 07:30:00,2025-12-05 09:28:00,landed,C18,5,65
TU1415,TS-IMF,Tunis,Casablanca,2025-12-05 07:29:00,2025-12-05 10:39:00,2025-12-05 07:29:00,2025-12-05 10:56:00,landed,C11,0,164
TU1416,TS-IOA,Monastir,Paris,2025-12-05 09:13:00,2025-12-05 11:29:00,2025-12-05 09:28:00,2025-12-05 11:28:00,landed,C20,15,162
TU1417,TS-IOA,Monastir,Amsterdam,2025-12-05 09:41:00,2025-12-05 12:31:00,2025-12-05 09:41:00,2025-12-05 12:45:00,landed,C24,0,168
TU1418,TS-IOE,Sfax,Istanbul,2025-12-05 12:28:00,2025-12-05 16:09:00,2025-12-05 12:38:00,2025-12-05 16:24:00,landed,A17,10,126
TU1419,TS-IMF,Enfidha,Casablanca,2025-12-05 12:43:00,2025-12-05 15:48:00,2025-12-05 12:43:00,2025-12-05 15:45:00,landed,D11,0,57
TU1420,TS-IOE,Monastir,Venice,2025-12-05 13:51:00,2025-12-05 16:11:00,2025-12-05 14:06:00,2025-12-05 16:26:00,landed,C20,15,88
TU1421,TS-IOE,Tunis,Nice,2025-12-05 15:02:00,2025-12-05 17:04:00,2025-12-05 15:02:00,2025-12-05 17:15:00,landed,D18,0,37
TU1422,TS-IMF,Enfidha,Marseille,2025-12-05 15:33:00,2025-12-05 16:52:00,2025-12-05 15:48:00,2025-12-05 17:05:00,landed,C7,15,141
TU1423,TS-IOB,Enfidha,Zurich,2025-12-05 17:52:00,2025-12-05 19:12:00,2025-12-05 17:57:00,2025-12-05 19:30:00,landed,D2,5,159
TU1424,TS-IMC,Djerba,Marseille,2025-12-05 18:33:00,2025-12-05 20:50:00,2025-12-05 18:48:00,2025-12-05 20:51:00,landed,A16,15,52
TU1425,TS-IMF,Djerba,Madrid,2025-12-05 21:00:00,2025-12-05 23:38:00,2025-12-05 21:20:00,2025-12-05 23:41:00,landed,D6,20,92
TU1426,TS-IMB,Monastir,Geneva,2025-12-06 05:54:00,2025-12-06 07:27:00,,,cancelled,C6,0,0
TU1427,TS-IOB,Djerba,Doha,2025-12-06 07:16:00,2025-12-06 11:59:00,2025-12-06 07:16:00,2025-12-06 12:06:00,landed,A7,0,183
TU1428,TS-IOD,Monastir,Madrid,2025-12-06 07:56:00,2025-12-06 10:16:00,2025-12-06 08:06:00,2025-12-06 10:19:00,landed,B4,10,139
TU1429,TS-IMF,Tunis,Casablanca,2025-12-06 08:36:00,2025-12-06 10:46:00,2025-12-06 08:36:00,2025-12-06 10:49:00,landed,B21,0,81
TU1430,TS-IOB,Monastir,Venice,2025-12-06 09:53:00,2025-12-06 12:06:00,2025-12-06 09:53:00,2025-12-06 12:12:00,landed,C18,0,154
TU1431,TS-IOD,Djerba,Casablanca,2025-12-06 10:09:00,2025-12-06 12:57:00,,,cancelled,A8,0,0
TU1432,TS-IOC,Sfax,Cairo,2025-12-06 10:27:00,2025-12-06 13:39:00,2025-12-06 10:27:00,2025-12-06 13:37:00,landed,A8,0,138
TU1433,TS-IMC,Tunis,Geneva,2025-12-06 11:00:00,2025-12-06 12:53:00,2025-12-06 11:15:00,2025-12-06 13:04:00,landed,D9,15,148
TU1434,TS-IOB,Sfax,Dubai,2025-12-06 11:35:00,2025-12-06 15:09:00,2025-12-06 11:55:00,2025-12-06 15:21:00,landed,D3,20,94
TU1435,TS-IOE,Tunis,Zurich,2025-12-06 11:59:00,2025-12-06 14:00:00,2025-12-06 12:04:00,2025-12-06 14:12:00,landed,B1,5,66
TU1436,TS-IOE,Enfidha,Tripoli,2025-12-06 15:26:00,2025-12-06 17:08:00,2025-12-06 15:46:00,2025-12-06 17:05:00,landed,C18,20,144
TU1437,TS-IMB,Monastir,Munich,2025-12-06 17:52:00,2025-12-06 19:56:00,2025-12-06 17:57:00,2025-12-06 19:53:00,landed,D10,5,119
TU1438,TS-IMC,Monastir,Munich,2025-12-06 18:28:00,2025-12-06 21:44:00,2025-12-06 18:28:00,2025-12-06 21:54:00,landed,D6,0,157
TU1439,TS-IOC,Sfax,Frankfurt,2025-12-06 20:27:00,2025-12-06 23:05:00,2025-12-06 20:27:00,2025-12-06 23:15:00,landed,C16,0,173
TU1440,TS-IMC,Monastir,Zurich,2025-12-06 21:10:00,2025-12-06 22:46:00,2025-12-06 21:25:00,2025-12-06 23:00:00,landed,A16,15,55
TU1441,TS-IOD,Enfidha,Munich,2025-12-06 22:59:00,2025-12-07 01:38:00,,,cancelled,B15,0,0
TU1442,TS-IOD,Djerba,Geneva,2025-12-07 05:41:00,2025-12-07 07:09:00,2025-12-07 05:41:00,2025-12-07 07:17:00,landed,A8,0,141
TU1443,TS-IOB,Sfax,Algiers,2025-12-07 07:08:00,2025-12-07 09:38:00,2025-12-07 07:28:00,2025-12-07 09:36:00,landed,C13,20,130
TU1444,TS-IOB,Monastir,Paris,2025-12-07 07:20:00,2025-12-07 09:17:00,2025-12-07 07:40:00,2025-12-07 09:20:00,landed,B9,20,145
TU1445,TS-IOD,Sfax,Lyon,2025-12-07 07:26:00,2025-12-07 09:05:00,2025-12-07 07:46:00,2025-12-07 09:22:00,landed,D18,20,121
TU1446,TS-IOA,Djerba,Algiers,2025-12-07 08:08:00,2025-12-07 09:22:00,,,delayed,C15,60,87
TU1447,TS-IME,Djerba,Geneva,2025-12-07 08:52:00,2025-12-07 11:02:00,2025-12-07 09:02:00,2025-12-07 11:05:00,landed,A15,10,57
TU1448,TS-IME,Enfidha,Barcelona,2025-12-07 10:27:00,2025-12-07 13:19:00,2025-12-07 10:27:00,2025-12-07 13:29:00,landed,C19,0,118
TU1449,TS-IMF,Enfidha,Madrid,2025-12-07 11:00:00,2025-12-07 14:12:00,2025-12-07 11:20:00,2025-12-07 14:29:00,landed,A7,20,177
TU1450,TS-IMD,Djerba,Algiers,2025-12-07 15:18:00,2025-12-07 17:11:00,2025-12-07 15:18:00,2025-12-07 17:25:00,landed,B24,0,159
TU1451,TS-IMB,Tunis,Marseille,2025-12-07 16:48:00,2025-12-07 18:05:00,,,delayed,A23,45,136
TU1452,TS-IME,Tunis,Amsterdam,2025-12-07 21:16:00,2025-12-07 23:24:00,2025-12-07 21:16:00,2025-12-07 23:38:00,landed,A7,0,112
TU1453,TS-IOB,Monastir,Madrid,2025-12-07 22:28:00,2025-12-08 00:55:00,2025-12-07 22:33:00,2025-12-08 01:09:00,landed,B8,5,129
TU1454,TS-IOD,Monastir,Brussels,2025-12-08 07:29:00,2025-12-08 09:34:00,2025-12-08 07:29:00,2025-12-08 09:42:00,landed,A7,0,123
TU1455,TS-IOE,Enfidha,London,2025-12-08 09:13:00,2025-12-08 12:14:00,2025-12-08 09:18:00,2025-12-08 12:18:00,landed,C15,5,118
TU1456,TS-IMC,Enfidha,Brussels,2025-12-08 09:48:00,2025-12-08 10:51:00,2025-12-08 09:58:00,2025-12-08 10:49:00,landed,D20,10,114
TU1457,TS-IOC,Sfax,Lyon,2025-12-08 09:51:00,2025-12-08 11:48:00,2025-12-08 09:51:00,2025-12-08 11:57:00,landed,A11,0,152
TU1458,TS-IOA,Monastir,Nice,2025-12-08 10:13:00,2025-12-08 11:56:00,2025-12-08 10:13:00,2025-12-08 12:05:00,landed,D2,0,146
TU1459,TS-IME,Enfidha,Rome,2025-12-08 10:51:00,2025-12-08 13:20:00,2025-12-08 10:51:00,2025-12-08 13:34:00,landed,B11,0,117
TU1460,TS-IOB,Tunis,Lyon,2025-12-08 11:14:00,2025-12-08 12:20:00,,,delayed,A19,20,74
TU1461,TS-IOA,Sfax,Casablanca,2025-12-08 11:41:00,2025-12-08 15:10:00,2025-12-08 11:51:00,2025-12-08 15:22:00,landed,A23,10,155
TU1462,TS-IMB,Enfidha,Zurich,2025-12-08 13:04:00,2025-12-08 14:58:00,2025-12-08 13:09:00,2025-12-08 15:16:00,landed,D24,5,142
TU1463,TS-IOA,Enfidha,Madrid,2025-12-08 15:50:00,2025-12-08 18:46:00,,,delayed,D21,25,124
TU1464,TS-IMD,Tunis,Lyon,2025-12-08 17:04:00,2025-12-08 18:47:00,2025-12-08 17:19:00,2025-12-08 18:59:00,landed,C8,15,117
TU1465,TS-IME,Tunis,Amsterdam,2025-12-08 17:57:00,2025-12-08 20:36:00,2025-12-08 18:02:00,2025-12-08 20:46:00,landed,D8,5,134
TU1466,TS-IMC,Tunis,Madrid,2025-12-08 19:10:00,2025-12-08 22:12:00,2025-12-08 19:15:00,2025-12-08 22:24:00,landed,D6,5,158
TU1467,TS-IME,Monastir,Madrid,2025-12-08 20:26:00,2025-12-08 23:48:00,2025-12-08 20:36:00,2025-12-08 23:45:00,landed,C7,10,138
TU1468,TS-IOA,Sfax,Casablanca,2025-12-09 06:52:00,2025-12-09 10:10:00,2025-12-09 06:57:00,2025-12-09 10:22:00,landed,D13,5,169
TU1469,TS-IMD,Djerba,Marseille,2025-12-09 07:04:00,2025-12-09 08:43:00,2025-12-09 07:24:00,2025-12-09 08:44:00,landed,D5,20,113
TU1470,TS-IMC,Monastir,Barcelona,2025-12-09 09:21:00,2025-12-09 12:41:00,2025-12-09 09:21:00,2025-12-09 12:53:00,landed,D4,0,43
TU1471,TS-IMD,Sfax,Algiers,2025-12-09 14:39:00,2025-12-09 15:56:00,,,delayed,B24,30,94
TU1472,TS-IOA,Tunis,Venice,2025-12-09 17:54:00,2025-12-09 19:03:00,2025-12-09 18:09:00,2025-12-09 19:05:00,landed,C9,15,137
TU1473,TS-IMD,Sfax,Paris,2025-12-09 18:30:00,2025-12-09 20:18:00,2025-12-09 18:35:00,2025-12-09 20:19:00,landed,D11,5,79
TU1474,TS-IMB,Enfidha,Milan,2025-12-09 18:35:00,2025-12-09 20:04:00,2025-12-09 18:55:00,2025-12-09 20:06:00,landed,A2,20,22
TU1475,TS-IOC,Monastir,Dubai,2025-12-09 20:14:00,2025-12-10 00:44:00,2025-12-09 20:19:00,2025-12-10 00:43:00,landed,C2,5,105
TU1476,TS-IOA,Djerba,Abu Dhabi,2025-12-09 20:18:00,2025-12-09 23:32:00,2025-12-09 20:18:00,2025-12-09 23:33:00,landed,C2,0,59
TU1477,TS-IOB,Sfax,Zurich,2025-12-09 22:08:00,2025-12-10 00:31:00,2025-12-09 22:28:00,2025-12-10 00:34:00,landed,A9,20,125
TU1478,TS-IOA,Djerba,Venice,2025-12-10 06:48:00,2025-12-10 08:24:00,2025-12-10 06:48:00,2025-12-10 08:34:00,landed,A19,0,82
TU1479,TS-IMD,Monastir,Dubai,2025-12-10 06:59:00,2025-12-10 11:09:00,2025-12-10 07:09:00,2025-12-10 11:17:00,landed,D16,10,135
TU1480,TS-IOD,Monastir,Casablanca,2025-12-10 07:52:00,2025-12-10 11:02:00,2025-12-10 07:52:00,2025-12-10 10:59:00,landed,B10,0,132
TU1481,TS-IOD,Enfidha,Geneva,2025-12-10 09:47:00,2025-12-10 10:53:00,2025-12-10 09:47:00,2025-12-10 11:02:00,landed,B10,0,49
TU1482,TS-IMF,Sfax,Munich,2025-12-10 10:18:00,2025-12-10 13:01:00,2025-12-10 10:38:00,2025-12-10 13:19:00,landed,A12,20,98
TU1483,TS-IOE,Enfidha,Lyon,2025-12-10 12:04:00,2025-12-10 13:40:00,,,delayed,A3,30,133
TU1484,TS-IMC,Enfidha,Tripoli,2025-12-10 15:08:00,2025-12-10 16:10:00,2025-12-10 15:13:00,2025-12-10 16:18:00,landed,A3,5,154
TU1485,TS-IOB,Djerba,Munich,2025-12-10 18:38:00,2025-12-10 20:44:00,2025-12-10 18:38:00,2025-12-10 20:46:00,landed,B3,0,71
TU1486,TS-IOD,Djerba,Doha,2025-12-10 19:58:00,2025-12-10 23:17:00,2025-12-10 20:08:00,2025-12-10 23:27:00,landed,B9,10,100
TU1487,TS-IMC,Djerba,Algiers,2025-12-10 20:24:00,2025-12-10 22:18:00,2025-12-10 20:24:00,2025-12-10 22:17:00,landed,C23,0,104
TU1488,TS-IMD,Monastir,Barcelona,2025-12-10 21:20:00,2025-12-11 00:11:00,,,delayed,C20,10,159
TU1489,TS-IMF,Tunis,Madrid,2025-12-10 22:07:00,2025-12-11 00:21:00,2025-12-10 22:22:00,2025-12-11 00:18:00,landed,B17,15,76
TU1490,TS-IMD,Tunis,Amsterdam,2025-12-10 22:15:00,2025-12-11 00:39:00,2025-12-10 22:25:00,2025-12-11 00:36:00,landed,C21,10,160
TU1491,TS-IOD,Djerba,Cairo,2025-12-11 05:44:00,2025-12-11 09:40:00,2025-12-11 05:44:00,2025-12-11 09:55:00,landed,D5,0,129
TU1492,TS-IOB,Monastir,Abu Dhabi,2025-12-11 06:08:00,2025-12-11 09:35:00,2025-12-11 06:18:00,2025-12-11 09:52:00,landed,A20,10,125
TU1493,TS-IOE,Enfidha,Cairo,2025-12-11 06:13:00,2025-12-11 11:05:00,,,delayed,D22,30,81
TU1494,TS-IOC,Monastir,Algiers,2025-12-11 09:14:00,2025-12-11 10:57:00,2025-12-11 09:34:00,2025-12-11 10:55:00,landed,D11,20,62
TU1495,TS-IMC,Tunis,Nice,2025-12-11 13:16:00,2025-12-11 15:41:00,2025-12-11 13:26:00,2025-12-11 15:48:00,landed,C9,10,33
TU1496,TS-IME,Sfax,Tripoli,2025-12-11 17:14:00,2025-12-11 19:43:00,2025-12-11 17:14:00,2025-12-11 19:51:00,landed,A12,0,129
TU1497,TS-IOB,Djerba,Barcelona,2025-12-11 19:25:00,2025-12-11 21:28:00,2025-12-11 19:25:00,2025-12-11 21:41:00,landed,C11,0,55
TU1498,TS-IOE,Monastir,Milan,2025-12-11 20:35:00,2025-12-11 21:39:00,,,delayed,C12,45,146
